area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,Ready To Move,panathur,2 BHK,Isncasa,980,2,1,57,Mahadevapura Zone
Built-up  Area,Ready To Move,kudlu gate,2 BHK,Brlms P,1164,2,2,75,Bommanahalli Zone
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Prldsri,929,1,2,51,South Zone
Built-up  Area,Ready To Move,kundalahalli,2 BHK,,1065,2,1,70,Mahadevapura Zone
Super built-up  Area,20-Jun,budigere,2 BHK,Brstaue,1150 - 1194,2,0,56.725,Outside BBMP Zones
Super built-up  Area,Ready To Move,lakshmiamma garden,3 BHK,,3000,3,1,265,Outside BBMP Zones
Super built-up  Area,18-Apr,electronic city,2 BHK,,1020,2,1,30.27,Bommanahalli Zone
Super built-up  Area,Ready To Move,gunjur,3 BHK,DSerste,1362,3,1,62.63,Mahadevapura Zone
Super built-up  Area,Ready To Move,yeshwanthpur,1 BHK,IBityin,672,1,1,36.85,Dasarahalli Zone
Super built-up  Area,Ready To Move,brookefield,3 BHK,Stlomg,1746,3,3,115,Mahadevapura Zone
Built-up  Area,18-Dec,electronic city,2 BHK,,1025,2,1,29.6,Bommanahalli Zone
Super built-up  Area,Ready To Move,harlur,2 BHK,SrEndPo,1532,2,1,65,Bommanahalli Zone
Super built-up  Area,Ready To Move,guni agrahara,3 BHK,,1200,2,2,120,Unknown
Super built-up  Area,Ready To Move,ganga nagar,2 BHK,AlourAr,1250,2,2,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1188,2,1,39,Yelahanka Zone
Built-up  Area,19-Oct,whitefield,4 Bedroom,NVaree,3565,4,0,218,Mahadevapura Zone
Super built-up  Area,19-Jan,marathahalli,2 BHK,PrensKe,1170,2,2,85,Mahadevapura Zone
Super built-up  Area,Ready To Move,bel road,3 BHK,,1800,3,2,150,Yelahanka Zone
Plot  Area,Ready To Move,madavara,2 Bedroom,,1000,2,1,35,Dasarahalli Zone
Plot  Area,Ready To Move,cooke town,3 Bedroom,,2600,3,1,375,East Zone
Plot  Area,Ready To Move,nagarbhavi,5 Bedroom,,1200,4,3,240,West Zone
Super built-up  Area,Ready To Move,kasturi nagar,4 BHK,Radenta,2507,4,2,155,East Zone
Super built-up  Area,Ready To Move,babusapalaya,2 BHK,ARngsd,1061,2,1,34,Yelahanka Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,,1290,2,2,69,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur,2 BHK,,1200,2,1,42.6,Outside BBMP Zones
Super built-up  Area,18-May,bharathi nagar,2 BHK,,1120,2,2,39.29,East Zone
Super built-up  Area,Ready To Move,electronic city,1 BHK,,418,1,1,12,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur,3 BHK,Sondaka,1333,3,1,50,Outside BBMP Zones
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Klark L,1691,3,2,119,Bommanahalli Zone
Super built-up  Area,19-Dec,thanisandra,1 BHK,Cotaror,684 - 810,1,0,34.355,Yelahanka Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,,1700,3,3,250,East Zone
Super built-up  Area,19-May,thanisandra,3 BHK,G conTh,2030,4,1,125,Yelahanka Zone
Super built-up  Area,18-Mar,balagere,2 BHK,Soresea,1012,2,1,70,Mahadevapura Zone
Carpet  Area,Ready To Move,kudlu,3 BHK,,1245,2,1,60,Bommanahalli Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Eladero,1765,3,2,118,Unknown
Super built-up  Area,Ready To Move,gottigere,2 BHK,Srtusi,1110,2,2,36.25,South Zone
Built-up  Area,Ready To Move,akash nagar,2 BHK,,967,2,1,47.8,Unknown
Super built-up  Area,Ready To Move,sarjapur,2 BHK,Peles P,1044,2,2,36,Outside BBMP Zones
Super built-up  Area,Ready To Move,brookefield,3 BHK,Baentgi,1518,3,3,80,Mahadevapura Zone
Super built-up  Area,Ready To Move,kr puram,3 BHK,SLontel,1300,2,2,57,Mahadevapura Zone
Super built-up  Area,Ready To Move,seetharampalya,3 BHK,Sapazta,1798,3,3,73,Mahadevapura Zone
Carpet  Area,Ready To Move,kr puram,2 BHK,Jahidva,866.28,2,0,36.38,Mahadevapura Zone
Super built-up  Area,18-Feb,whitefield,4 BHK,BrlisCo,3410,5,3,253,Mahadevapura Zone
Super built-up  Area,Ready To Move,singasandra,2 BHK,EAvarum,1179,2,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,rajaji nagar,5 BHK,PhestOn,3600,5,,510,West Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Aklia R,1125,2,1,48,South Zone
Super built-up  Area,Ready To Move,cambridge layout,3 BHK,,2098,3,1,210,East Zone
Super built-up  Area,Ready To Move,3rd phase jp nagar,3 BHK,,2400,3,1,270,Unknown
Built-up  Area,Ready To Move,haralur road,3 BHK,,1976,3,2,92,Bommanahalli Zone
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Niaveha,1190,2,2,61.8,Unknown
Super built-up  Area,Ready To Move,cooketown,3 BHK,,1800,3,3,192,East Zone
Super built-up  Area,19-Sep,jakkur,3 BHK,Ceezey,1761,3,1,84.52,Yelahanka Zone
Super built-up  Area,Ready To Move,cooke town,3 BHK,,1700,3,3,120,East Zone
Built-up  Area,Ready To Move,ramamurthy nagar,4 Bedroom,,900,4,1,70,Mahadevapura Zone
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1128,2,1,64.8,Bommanahalli Zone
Super built-up  Area,Ready To Move,5th stage beml layout,3 BHK,,2000,3,2,85,Unknown
Built-up  Area,18-Dec,electronic city,3 BHK,,1220,2,1,35.25,Bommanahalli Zone
Super built-up  Area,19-Jan,shauhardha layout,1 BHK,Ardaseo,509,1,1,20,Unknown
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,SoechHa,1852,4,2,122,East Zone
Super built-up  Area,20-Dec,varthur,2 BHK,Myple M,1045,2,1,40.65,Mahadevapura Zone
Super built-up  Area,Ready To Move,kaverappa layout,4 BHK,Varve R,3535,4,2,215,Outside BBMP Zones
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1102,2,2,53.67,Mahadevapura Zone
Super built-up  Area,Ready To Move,omkar nagar,4 BHK,Shinei,1800,3,2,82,West Zone
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,,1436,2,2,75,Yelahanka Zone
Super built-up  Area,Ready To Move,chikkadunnasandra,3 BHK,Kr 10Ca,1397,2,,52,Outside BBMP Zones
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1140,2,2,56,Yelahanka Zone
Super built-up  Area,20-Jan,balagere,1 BHK,Soresea,645,1,1,55,Mahadevapura Zone
Plot  Area,Ready To Move,bank of baroda colony,5 Bedroom,,2350,5,,325,South Zone
Plot  Area,18-May,nagarbhavi,3 Bedroom,,1200,3,2,225,West Zone
Carpet  Area,Ready To Move,bhoopsandra,3 BHK,E onsg,2050,3,2,135,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,DSndsod,1335,2,1,95,Bommanahalli Zone
Plot  Area,Ready To Move,thirumenahalli,2 Bedroom,,2100,1,1,200,Yelahanka Zone
Super built-up  Area,18-Dec,hebbal,3 BHK,Magiaya,1255,3,2,77.68,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1140,2,1,59,Yelahanka Zone
Super built-up  Area,Ready To Move,hosakerehalli,3 BHK,Taonte,2376,3,1,240,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Mar,thanisandra,1 BHK,Bhe 2ko,663,1,1,46,Yelahanka Zone
Super built-up  Area,Ready To Move,victoria layout,2 BHK,,1276,2,0,146,Unknown
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1450,3,3,60.9,South Zone
Super built-up  Area,Ready To Move,kodichikkanahalli,3 BHK,,1400,3,3,66,Bommanahalli Zone
Super built-up  Area,17-Oct,divya unnathi layout,2 BHK,,1339,2,1,53.56,Outside BBMP Zones
Built-up  Area,18-Dec,electronic city,3 BHK,,1220,2,1,35.23,Bommanahalli Zone
Built-up  Area,Ready To Move,malleshwaram,3 BHK,Sariaat,2200,3,2,275,West Zone
Built-up  Area,Ready To Move,harohalli,2 BHK,,1305,2,2,52,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,green glen layout,3 BHK,Sravea,1740,3,3,80,Mahadevapura Zone
Super built-up  Area,Ready To Move,anekal,2 BHK,,680,1,1,21,Outside BBMP Zones
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,,1154,2,2,47,South Zone
Built-up  Area,Ready To Move,munnekollal,2 BHK,,1200,2,2,40,Mahadevapura Zone
Super built-up  Area,Ready To Move,hennur,2 BHK,,1155,2,2,54.5,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Shthi S,1525,2,3,63,Bommanahalli Zone
Built-up  Area,Ready To Move,giri nagar,1 Bedroom,,600,1,1,125,South Zone
Super built-up  Area,19-Dec,hebbal,4 BHK,Raard B,2470,5,2,192,Yelahanka Zone
Super built-up  Area,Ready To Move,padmanabhanagar,2 BHK,,1100,2,1,60,South Zone
Super built-up  Area,Ready To Move,hormavu,2 BHK,Savar S,1250,2,2,65,Mahadevapura Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,YMhenLi,1400,2,1,70,Yelahanka Zone
Super built-up  Area,Ready To Move,ittamadu,3 BHK,Naory G,1600,3,2,100,South Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1060,2,1,55,Bommanahalli Zone
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,,1272,2,2,50,Mahadevapura Zone
Super built-up  Area,19-Jul,kanakpura road,2 BHK,Soazak,1296,2,2,105,South Zone
Built-up  Area,Ready To Move,dollars colony,4 BHK,,2100,3,2,280,West Zone
Super built-up  Area,Ready To Move,karuna nagar,3 BHK,AjityIn,1945,3,3,115,South Zone
Super built-up  Area,19-Nov,chandapura,3 BHK,,1033,2,2,30.47,Outside BBMP Zones
Super built-up  Area,Ready To Move,stage-4 bommanahalli,3 BHK,Pantsce,2300,2,,69,Unknown
Super built-up  Area,18-Aug,gunjur palya,2 BHK,,1235,2,2,52.76,Mahadevapura Zone
Super built-up  Area,Ready To Move,3rd block koramangala,3 BHK,Aplanje,2100,3,1,270,Unknown
Super built-up  Area,Ready To Move,2nd phase jp nagar,2 BHK,Sharlth,850,2,1,42.5,Unknown
Super built-up  Area,Ready To Move,subramanyapura,3 BHK,Mayne A,1880,3,2,110,South Zone
Super built-up  Area,20-May,1st block jayanagar,4 BHK,,2450,4,2,368,Unknown
Super built-up  Area,Ready To Move,kenchenahalli,2 BHK,Unateit,1060,2,2,52,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,SaireSa,2041,3,3,138,Yelahanka Zone
Built-up  Area,Ready To Move,hulimavu,2 Bedroom,,1050,2,2,125,Bommanahalli Zone
Super built-up  Area,Ready To Move,vasanthapura,2 BHK,,1037,2,1,36.28,South Zone
Built-up  Area,21-Dec,electronic city phase 1,2 BHK,,1150,2,1,39,Unknown
Super built-up  Area,Ready To Move,lb shastri nagar,2 BHK,MCrds S,1184,2,1,62,East Zone
Built-up  Area,Ready To Move,sarjapur road,3 BHK,,1680,3,2,126,Bommanahalli Zone
Super built-up  Area,18-Apr,thanisandra,3 BHK,Bhe 2ko,1411,3,2,100,Yelahanka Zone
Plot  Area,Ready To Move,hosa road,5 Bedroom,,900,5,0,55,Bommanahalli Zone
Super built-up  Area,21-Dec,kanakpura road,2 BHK,,900,2,2,41,South Zone
Built-up  Area,Ready To Move,jakkur plantation,4 BHK,,3500,4,3,320,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1702,3,2,120,Yelahanka Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,BKideor,1185,2,2,45,Yelahanka Zone
Super built-up  Area,21-Jan,kanakpura road,3 BHK,PrarePa,1300,3,1,64,South Zone
Super built-up  Area,Ready To Move,lavakusha nagar,3 BHK,Vanusn,1545,3,2,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,6th phase jp nagar,3 BHK,NCierar,1515,2,2,135,Unknown
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1300,3,3,55,Outside BBMP Zones
Super built-up  Area,Ready To Move,jp nagar,2 BHK,,1107,2,1,57,South Zone
Super built-up  Area,Ready To Move,old madras road,3 BHK,Brglede,1720,3,2,106,East Zone
Super built-up  Area,Ready To Move,kuvempu nagar,3 BHK,Srersas,1540,3,2,150,Unknown
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,,1000,2,1,44.5,South Zone
Super built-up  Area,21-Dec,electronic city,1 BHK,KonteiT,710,1,1,40.42,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1100,2,1,38,Yelahanka Zone
Built-up  Area,Ready To Move,sri balaji krupa layout,4 Bedroom,KrodsNo,3200,4,0,270,South Zone
Plot  Area,Ready To Move,domlur layout,2 Bedroom,,900,2,2,160,East Zone
Built-up  Area,Ready To Move,bannerghatta road,2 BHK,Saavenc,1250,2,0,48,South Zone
Built-up  Area,Ready To Move,kaggadasapura,5 Bedroom,,2400,4,3,130,Mahadevapura Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,Sonosty,1584.01,3,1,104,Yelahanka Zone
Plot  Area,Ready To Move,vasanth nagar,4 Bedroom,,875,4,0,150,East Zone
Plot  Area,Ready To Move,kammasandra,4 Bedroom,,1200,6,3,60,Outside BBMP Zones
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,SrncyRe,1485,2,2,70,Mahadevapura Zone
Built-up  Area,Ready To Move,hennur road,3 BHK,Maity W,1100,2,1,78,Yelahanka Zone
Super built-up  Area,18-Mar,8th phase jp nagar,2 BHK,,1245,2,1,59,Unknown
Built-up  Area,19-Dec,hennur road,4 Bedroom,Ciris P,1880,4,0,154,Yelahanka Zone
Super built-up  Area,20-Jul,frazer town,3 BHK,,2214,3,3,350,East Zone
Built-up  Area,18-Jun,anathanagar,2 BHK,,1050,2,2,45,Unknown
Plot  Area,Ready To Move,vishveshwarya layout,4 Bedroom,,600,4,2,95,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Jul,bannerghatta road,3 BHK,Uncioe,1640,3,2,105,South Zone
Super built-up  Area,Ready To Move,basavanapura,2 BHK,Papusa,1165,2,1,65,Mahadevapura Zone
Built-up  Area,Ready To Move,kengeri satellite town,2 BHK,MMowsik,1110,2,1,43,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,vinayakanagar,7 BHK,,1200,5,2,200,Unknown
Built-up  Area,Ready To Move,st. john's road,4 BHK,Soy 1Iv,4000,4,2,630,East Zone
Built-up  Area,Ready To Move,uttarahalli,4 Bedroom,,4500,4,0,150,South Zone
Plot  Area,Ready To Move,jaraganahalli jp nagar post,4 Bedroom,,600,4,3,65,Unknown
Super built-up  Area,Ready To Move,haralur road,2 BHK,NDionas,1300,2,2,75,Bommanahalli Zone
Plot  Area,Ready To Move,adigondanhalli,2 Bedroom,,1200,1,0,42,Unknown
Plot  Area,Immediate Possession,yelahanka,,Saaveha,1200 - 1800,,,12.75,Yelahanka Zone
Super built-up  Area,18-Aug,hennur road,2 BHK,Puachal,1232,2,1,69.61,Yelahanka Zone
Super built-up  Area,Ready To Move,jalahalli,3 BHK,,1704,3,2,94.36,Dasarahalli Zone
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,,1275,2,2,88,Unknown
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,GCiewty,1222,2,1,68,Bommanahalli Zone
Super built-up  Area,Ready To Move,varthur,2 BHK,MKllei,1155,2,2,39,Mahadevapura Zone
Super built-up  Area,18-Apr,electronic city,2 BHK,,1000,2,1,29.95,Bommanahalli Zone
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,Bhave E,1200,2,1,45,Mahadevapura Zone
Super built-up  Area,19-Dec,yelahanka,3 BHK,Goues A,1517,3,2,71.28,Yelahanka Zone
Super built-up  Area,18-May,horamavu agara,2 BHK,,1166,2,1,37.29,Mahadevapura Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,870,2,2,24,Bommanahalli Zone
Super built-up  Area,Ready To Move,5th phase jp nagar,5 BHK,,4000,5,2,170,Unknown
Plot  Area,Ready To Move,rajaji nagar,4 Bedroom,,1350,4,1,230,West Zone
Super built-up  Area,Ready To Move,yelahanka,4 BHK,Niareum,3019,6,,190,Yelahanka Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,SearkHy,1345,3,1,58,Mahadevapura Zone
Plot  Area,Ready To Move,dommasandra,3 Bedroom,,900,3,1,75,Outside BBMP Zones
Super built-up  Area,Ready To Move,epip zone,4 BHK,AkoreEn,3800,5,2,170,Mahadevapura Zone
Super built-up  Area,Ready To Move,chandapura,3 BHK,,971,2,2,38,Outside BBMP Zones
Super built-up  Area,Ready To Move,hennur,2 BHK,Shateor,1255,2,1,52.32,Yelahanka Zone
Built-up  Area,Ready To Move,epip zone,2 BHK,Loe 1st,1810,2,2,65,Mahadevapura Zone
Built-up  Area,Ready To Move,whitefield,2 BHK,,1300,2,1,58,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,MenueNo,1185,2,2,45,Yelahanka Zone
Super built-up  Area,Ready To Move,pattandur agrahara,2 BHK,ShaleSp,1350,2,3,68,Mahadevapura Zone
Super built-up  Area,20-Jun,budigere,3 BHK,Brstaue,1510 - 1670,3,0,76.16,Outside BBMP Zones
Super built-up  Area,Ready To Move,thyagaraja nagar,7 BHK,,3000,6,3,180,South Zone
Plot  Area,Ready To Move,brookefield,4 Bedroom,,1560,3,2,149,Mahadevapura Zone
Super built-up  Area,Ready To Move,somasundara palya,3 BHK,ManceEl,1650,3,,126,Bommanahalli Zone
Super built-up  Area,Ready To Move,off bannergatta road,3 BHK,,1645,3,2,87,Bommanahalli Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,ChionCo,1748,3,,103,Yelahanka Zone
Plot  Area,18-Nov,channasandra,3 Bedroom,,1200,3,1,67.77,Mahadevapura Zone
Built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Rooodre,1170,2,3,50,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,sarjapur road,4 BHK,Saitya,3420,4,2,225,Bommanahalli Zone
Built-up  Area,Ready To Move,hulimavu,3 BHK,Naepa D,1320,2,2,65,Bommanahalli Zone
Super built-up  Area,18-Jul,bhoganhalli,3 BHK,Rosha I,1610,3,2,84.53,Mahadevapura Zone
Super built-up  Area,Ready To Move,frazer town,3 BHK,Bamita,1870,3,3,180,East Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Mades G,1510,2,1,110,Bommanahalli Zone
Built-up  Area,Ready To Move,kammagondahalli,6 Bedroom,,2700,7,3,110,Dasarahalli Zone
Super built-up  Area,Ready To Move,kanakapura rod,3 BHK,,1305,2,1,45.68,Unknown
Super built-up  Area,Ready To Move,mahadevpura,3 BHK,Neisei,1500,2,1,70,Mahadevapura Zone
Super built-up  Area,Ready To Move,indira nagar,2 BHK,Goareir,1149,2,1,130,East Zone
Built-up  Area,Ready To Move,thanisandra,4 BHK,Bhmesy,1948,4,2,129,Yelahanka Zone
Plot  Area,Ready To Move,margondanahalli,3 Bedroom,,1448,3,1,70,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,SJityaz,1242,2,1,78,Bommanahalli Zone
Super built-up  Area,Ready To Move,sonnenahalli,2 BHK,Skacak,1268,2,1,58,Outside BBMP Zones
Super built-up  Area,Ready To Move,ramamurthy nagar,2 BHK,Saoneil,1101,2,1,50,Mahadevapura Zone
Super built-up  Area,Ready To Move,kallumantapa,2 BHK,Bhmesa,1255,2,3,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,gunjur,3 BHK,DSerste,1362,3,1,62.63,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Puops R,984,3,2,140,Bommanahalli Zone
Super built-up  Area,18-May,hosa road,2 BHK,SStusan,1089,2,1,32.67,Bommanahalli Zone
Built-up  Area,Ready To Move,byrathi village,2 BHK,,800,1,3,95,Yelahanka Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1345,2,1,57,South Zone
Plot  Area,Ready To Move,thanisandra,8 Bedroom,,3600,9,3,125,Yelahanka Zone
Plot  Area,Ready To Move,krishna nagar,4 Bedroom,,1650,2,1,140,Unknown
Super built-up  Area,Ready To Move,kaggalipura,2 BHK,Baowsig,950,2,1,45,Outside BBMP Zones
Super built-up  Area,Ready To Move,hbr layout,2 BHK,Mantsce,1068,2,1,43,East Zone
Built-up  Area,Ready To Move,yelahanka new town,2 BHK,KHatsFl,860,1,2,31,Yelahanka Zone
Built-up  Area,Ready To Move,kengeri,8 Bedroom,,3000,5,,130,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,yelahanka,3 BHK,Pyikad,1756,3,2,66.73,Yelahanka Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,SSthamh,1205,2,1,41,Mahadevapura Zone
Plot  Area,Ready To Move,hoodi,8 Bedroom,,1120,8,,155,Mahadevapura Zone
Super built-up  Area,Ready To Move,banashankari,3 BHK,Bregae,1800,3,2,125,South Zone
Super built-up  Area,18-Jan,ashok nagar,4 BHK,,8321,5,2,2912,East Zone
Built-up  Area,Ready To Move,hormavu,3 BHK,Neise P,1604,3,0,68,Mahadevapura Zone
Super built-up  Area,18-May,old airport road,4 BHK,Jaades,2732,4,3,204,East Zone
Super built-up  Area,18-Dec,chandapura,2 BHK,SunceEs,1015,2,2,25.88,Outside BBMP Zones
Super built-up  Area,Ready To Move,banashankari,3 BHK,,1200,2,2,42,South Zone
Super built-up  Area,Ready To Move,ananth nagar,2 BHK,,1010,2,2,38,Bommanahalli Zone
Built-up  Area,Ready To Move,nagarbhavi,2 Bedroom,,1250,3,0,170,West Zone
Super built-up  Area,Ready To Move,doddakallasandra,2 BHK,,1010,2,1,41,South Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,DStus S,1050,2,2,33.1,Yelahanka Zone
Super built-up  Area,Ready To Move,harlur,3 BHK,,1710,3,2,85,Bommanahalli Zone
Super built-up  Area,19-Jan,mysore road,3 BHK,PrntaEn,1248.52,3,2,115,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,attibele,1 BHK,,410,1,1,10,Outside BBMP Zones
Super built-up  Area,18-Oct,bannerghatta road,3 BHK,DSnjh S,1656,2,1,62.93,South Zone
Super built-up  Area,Ready To Move,naganathapura,3 BHK,Malmsri,1451,3,1,68,Bommanahalli Zone
Super built-up  Area,Ready To Move,giri nagar,6 BHK,,1200,3,0,175,South Zone
Super built-up  Area,Ready To Move,jp nagar,2 BHK,Maerar,1250,2,2,93,South Zone
Plot  Area,Ready To Move,meenakunte,3 Bedroom,Sreat R,4395,3,3,240,Outside BBMP Zones
Super built-up  Area,Ready To Move,hebbal,4 BHK,Emceske,4600,6,2,650,Yelahanka Zone
Built-up  Area,Ready To Move,sonnenahalli,3 BHK,Laiteya,1340,2,3,42,Outside BBMP Zones
Super built-up  Area,Ready To Move,abbaiah reddy layout,2 BHK,SSaveik,1100,2,2,38.5,Unknown
Super built-up  Area,Ready To Move,whitefield,4 BHK,Toindls,6000,6,,700,Mahadevapura Zone
Super built-up  Area,Ready To Move,devarachikkanahalli,3 BHK,Heate L,1700,3,1,71,Bommanahalli Zone
Plot  Area,Ready To Move,yelahanka,6 Bedroom,,1200,5,0,150,Yelahanka Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,SViseun,1096,2,1,43,Mahadevapura Zone
Super built-up  Area,18-May,electronic city phase ii,2 BHK,Sryalan,1160,2,1,33.5,Bommanahalli Zone
Built-up  Area,Ready To Move,sarjapur road,3 BHK,,1936,3,2,139,Bommanahalli Zone
Super built-up  Area,Ready To Move,nehru nagar,3 BHK,Undge T,1269,2,2,63,West Zone
Super built-up  Area,19-Dec,richmond road,3 BHK,,3500,3,1,630,East Zone
Super built-up  Area,18-May,panathur,3 BHK,Prcesvy,1586,3,1,125,Mahadevapura Zone
Super built-up  Area,18-Jul,rajaji nagar,2 BHK,ProdsWe,1376,2,1,124,West Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1452,3,3,56.5,South Zone
Super built-up  Area,18-Aug,hosa road,3 BHK,Sosisic,1538,3,1,107,Bommanahalli Zone
Super built-up  Area,18-May,hosur road,3 BHK,PuendWe,1427,2,1,130,Bommanahalli Zone
Built-up  Area,Ready To Move,upadhyaya layout,2 BHK,,935,2,0,40,Outside BBMP Zones
Built-up  Area,Ready To Move,ashwath nagar,2 BHK,Raeusiy,1220,2,3,65,East Zone
Super built-up  Area,Ready To Move,harlur,2 BHK,Prncyrn,1197,2,1,77,Bommanahalli Zone
Super built-up  Area,18-Dec,varthur,2 BHK,,674,1,1,19.9,Mahadevapura Zone
Built-up  Area,Ready To Move,kengeri,1 BHK,,410,1,1,15,Rajarajeshwari Nagar Zone
Built-up  Area,18-Apr,thanisandra,3 BHK,Bhmesy,1573,3,1,90,Yelahanka Zone
Super built-up  Area,Ready To Move,dodda nekkundi,2 BHK,Srsami,1135,2,2,58,Mahadevapura Zone
Built-up  Area,18-Dec,huskur,3 BHK,,1400,2,1,40.43,Bommanahalli Zone
Super built-up  Area,Ready To Move,agrahara dasarahalli,1 BHK,,1200,1,0,65,West Zone
Plot  Area,Ready To Move,ittamadu,3 Bedroom,,1800,3,0,95,South Zone
Built-up  Area,Ready To Move,avalahalli,3 BHK,Sohea A,2045,3,2,108,Mahadevapura Zone
Super built-up  Area,Ready To Move,sonnenahalli,2 BHK,Skacak,1268,2,1,56,Outside BBMP Zones
